Character Name,Height,Weight,Bust,Waist,Hip,Gender,Eye Color,Hair Color,Hair Length,Apparent Age,Animal Ears,
Elise Katharina vo...,,,,,,Female ,Purple ,Blonde ,To Waist ,Teen ,No ,
Pike Queen Lucy,,,,,,Female ,Red ,Black ,Past Waist ,Adult ,No ,
Miyako Sawatari,162cm,,94cm,60cm,93cm,Female ,Yellow ,Purple ,To Chest ,Adult ,No ,
Kanae Yumeno,162cm,,86cm,56cm,82cm,Female ,Yellow ,Blue ,Past Waist ,Teen ,No ,
Claudia Azure,,,,,,Female ,Blue ,Gray ,To Neck ,Adult ,No ,
Himeka Takeuchi,,,,,,Female ,Orange ,Orange ,Past Waist ,Adult ,No ,
Nowa,,,,,,Female ,Yellow ,Brown ,To Waist ,Teen ,Elf ,
Whitney,,,,,,Female ,Pink ,Pink ,To Neck ,Teen ,No ,
Yuri Tsukikage,,,,,,Female ,Purple ,Purple ,Past Waist ,Teen ,No ,
Megumi Morisaki,,,,,,Female ,Purple ,Red ,To Shoulders ,Adult ,No ,
Bullet,,,,,,Female ,Orange ,Gray ,To Neck ,Teen ,No ,
Skuld,,,,,,Female ,Brown ,Blue ,Past Waist ,Teen ,No ,
Vivian,,,,,,Female ,Orange ,Red ,To Neck ,Teen ,No ,
Mamika Kirameki,,,,,,Female ,Purple ,Pink ,To Neck ,Teen ,No ,
Xuanzang Sanzang,,,,,,Female ,Pink ,Black ,Past Waist ,Adult ,No ,
Nyx,,,,,,Female ,Blue / Green ,Brown ,To Waist ,Adult ,No ,
Tabane Shinonono,,,,,,Female ,Purple ,Purple ,Past Waist ,Adult ,No ,
Baltimore,,,,,,Female ,Yellow ,Black ,To Neck ,Teen ,No ,
Subaru Oozora,154cm,,,,,Female ,Blue ,Brown ,To Neck ,Teen ,No ,
Taokaka,,,,,,Female ,Red ,Blonde ,Past Waist ,Teen ,Animal ,
Muse,,,,,,Female ,Green ,Gray ,To Neck ,Teen ,No ,
Rosalie,,,,,,Female ,Gray ,Orange ,To Neck ,Teen ,No ,
Tabina,,,,,,Female ,Pink ,Brown ,Past Waist ,Adult ,No ,
Yuna Tsubakihara,,,,,,Female ,Green ,Orange ,To Chest ,Teen ,No ,
Saori Joumae,,,,,,Female ,Blue ,Black ,To Chest ,Teen ,No ,
Lorelei,,,,,,Female ,Black ,Red ,To Waist ,Adult ,No ,
Ruri Hikabe,158cm,,85cm,56cm,86cm,Female ,Purple ,Blue ,Past Waist ,Teen ,No ,
Nanao Tokisaka,159cm,,80cm,58cm,83cm,Female ,Blue ,Black ,Past Waist ,Teen ,No ,
Yuki Himemiya,168cm,,96cm,60cm,90cm,Female ,Blue ,Brown ,To Waist ,Teen ,No ,
Gardenia,,,,,,Female ,Orange ,Orange ,To Neck ,Teen ,No ,
Sae Fujiwara,161cm,,98cm,57cm,81cm,Female ,Blue ,Brown ,To Waist ,Teen ,No ,
Lailah,,,,,,Female ,Blue / Green ,White ,Past Waist ,Teen ,No ,
Ymir,,,,,,Female ,Blue ,Blonde ,To Shoulders ,Teen ,No ,
Yui Kisaragi,163cm,,106cm,64cm,88cm,Female ,Purple ,Brown ,To Shoulders ,Adult ,No ,
Aoi Futaba,158cm,44kg,,,,Female ,Green ,Green ,To Shoulders ,Teen ,Elf ,
Riruka Dokugamine,,,,,,Female ,Red ,Maroon ,To Chest ,Teen ,No ,
Akiho Ichibashi,165cm,,98cm,60cm,94cm,Female ,Pink ,Purple ,To Shoulders ,Adult ,No ,
Drake,,,,,,Female ,Yellow ,White ,Past Waist ,Adult ,No ,
Amanda,166cm,,91cm,60cm,88cm,Female ,Brown ,Blonde ,Past Waist ,Adult ,No ,
Misuzu Yukiko,,,,,,Female ,Purple ,Green ,Past Waist ,Adult ,No ,
Chacha Akaza,,,99cm,62cm,93cm,Female ,Blue / Green ,Gray ,Hair Up / Indeterminate ,Teen ,No ,
Maria Amane,,,,,,Female ,Brown ,Brown ,To Waist ,Adult ,No ,
Sheryl Nome,,,,,,Female ,Blue ,Blonde ,To Waist ,Adult ,No ,
Kefla,,,,,,Female ,Black ,Black ,To Ears ,Teen ,No ,
Risky Boots,,,,,,Female ,Red ,Purple ,To Ears ,Adult ,No ,
Madame Lily,,,,,,Female ,Red ,Pink ,Past Waist ,Adult ,No ,
Rottytops,,,,,,Female ,Red ,Green ,To Neck ,Teen ,No ,
Sophie Twilight,,,,,,Female ,Pink ,Gray ,Past Waist ,Teen ,No ,
Rushia Uruha,143cm,,,,,Female ,Red ,Green ,To Shoulders ,Teen ,No ,
Rei Kanzaki,,,,,,Female ,Blue ,Blonde ,Past Waist ,Adult ,No ,
Rinko Ogasawara,,,,,,Female ,Red ,Blonde ,To Waist ,Adult ,No ,
Marguerite,,,,,,Female ,Black ,Blonde ,To Neck ,Adult ,No ,
Jessie,,,,,,Female ,Black ,Pink ,Past Waist ,Teen ,No ,
Elena Amamiya,,,,,,Female ,Purple ,Blonde ,To Chest ,Teen ,No ,
Ashe,,,,,,Female ,Blue / Green ,Blonde ,To Shoulders ,Adult ,No ,
Hikayu Hoshikawa,,,,,,Female ,Red ,Pink ,To Shoulders ,Teen ,No ,
Sera Mitra Airun,152cm,42kg,84cm,56cm,85cm,Female ,Green ,Blonde ,To Neck ,Teen ,No ,
China Kousaka,,,,,,Female ,Brown ,Brown ,To Neck ,Teen ,No ,
Najimi Tenkuji,156cm,,,,,Female ,Blue ,Blue ,To Shoulders ,Teen ,No ,
Tiina,,,,,,Female ,Blue ,Blue ,Past Waist ,Adult ,Elf ,
Flatorte,,,,,,Female ,Green ,Purple ,To Shoulders ,Teen ,No ,
Ryouko Ayase,,,,,,Female ,Purple ,Red ,To Neck ,Adult ,No ,
Caulifla,,,,,,Female ,Blue ,Black ,To Shoulders ,Teen ,No ,
Sona,,,,,,Female ,Blue ,Blue ,Past Waist ,Adult ,No ,
Sagiri Ameno,,,,,,Female ,Green ,Purple ,Past Waist ,Teen ,No ,
Jenny,,,,,,Female ,Brown ,Blue / Green ,To Shoulders ,Adult ,No ,
Maya Fey,,,,,,Female ,Black ,Black ,To Waist ,Teen ,No ,
Kiri Sakurano,162cm,48kg,89cm,59cm,88cm,Female ,Blue ,Purple ,Past Waist ,Teen ,No ,
Arisa Ichigaya,,,,,,Female ,Brown ,Blonde ,To Chest ,Teen ,No ,
Beatrix,,,,,,Female ,Brown ,Brown ,Hair Up / Indeterminate ,Teen ,No ,
Cinderella,,,,,,Female ,Blue ,Blonde ,Past Waist ,Adult ,No ,
Yuuna Yunohana,,,,,,Female ,Red ,White ,To Waist ,Teen ,No ,
Sei Sakuraoka,,,,,,Female ,Blue ,Black ,To Chest ,Adult ,No ,
Urbosa,,,,,,Female ,Green ,Red ,To Waist ,Adult ,Elf ,
Kotomi Ichinose,160cm,48kg,88cm,58cm,85cm,Female ,Purple ,Purple ,To Chest ,Teen ,No ,
Io Hasekura,162cm,52kg,,,,Female ,Red ,Red ,To Waist ,Adult ,No ,
Helena Douglas,170cm,,90cm,56cm,86cm,Female ,Green ,Blonde ,To Waist ,Adult ,No ,
Raksharta Chawla,,,,,,Female ,Blue ,Blonde ,To Waist ,Adult ,No ,
Yaya Fushiguro,,,,,,Female ,Green ,Blue / Green ,To Neck ,Teen ,Animal ,
Irene Belserion,,,,,,Female ,Brown ,Red ,To Waist ,Adult ,No ,
Pikamee Amano,135cm,,,,,Female ,Blue / Green ,Blonde ,To Shoulders ,Teen ,No ,
Agnes Digital,143cm,,74cm,51cm,75cm,Female ,Gray ,Pink ,To Waist ,Teen ,Animal ,
Chris Westland,,,,,,Female ,Blue ,Blonde ,To Ears ,Adult ,No ,
Meg,,,,,,Female ,Red ,Red ,Past Waist ,Adult ,No ,
Aila Jyrkiainen,,,,,,Female ,Blue ,White ,To Waist ,Teen ,No ,
Misaki Kaga,,,,,,Female ,Yellow ,Gray ,To Waist ,Adult ,No ,
Tomoe Gozen,,,,,,Female ,Red ,Gray ,Past Waist ,Adult ,No ,
Elda Hairitter,,,,,,Female ,Blue ,Red ,Past Waist ,Adult ,No ,
Alina Gray,,,,,,Female ,Green ,Blonde ,Past Waist ,Teen ,No ,
Sode no Shirayuki,,,,,,Female ,Blue ,White ,To Waist ,Adult ,No ,
Mutsu,,,,,,Female ,Yellow ,Brown ,To Shoulders ,Teen ,No ,
Chise Hatori,,,,,,Female ,Green ,Red ,To Neck ,Teen ,No ,
Mami Asahina,,,98cm,57cm,112cm,Female ,Brown ,Black ,To Ears ,Teen ,No ,
Kashino,,,,,,Female ,Purple ,Brown ,Past Waist ,Adult ,Horns ,
Towa Tokoyami,150cm,,,,,Female ,Green ,Purple ,To Waist ,Teen ,No ,
Hinako Sakuragi,,,,,,Female ,Pink ,Orange ,To Chest ,Teen ,No ,
Boryeon,,,,,,Female ,Purple ,Blonde ,Past Waist ,Adult ,No ,
Shion Yorigami,,,,,,Female ,Blue ,Blue ,Past Waist ,Teen ,No ,
Luna Himemori,140cm,,,,,Female ,Purple ,Pink ,To Chest ,Teen ,No ,
Riju,,,,,,Female ,Green ,Red ,Past Waist ,Teen ,Elf ,
Anastasia Nasuhara,,,,,,Female ,Blue ,Blonde ,To Shoulders ,Teen ,No ,
Miyuki Toudou,,,,,,Female ,Blue ,Pink ,To Shoulders ,Adult ,No ,
Kia Maleek,,,,,,Female ,Yellow ,Blonde ,To Chest ,Adult ,No ,
Victoria Vanguard,,,,,,Female ,Gray ,Pink ,To Shoulders ,Teen ,No ,
Emiri Natsukawa,,,113cm,59cm,97cm,Female ,Brown ,Black ,To Neck ,Teen ,No ,
Shinano,,,,,,Female ,Blue ,White ,Past Waist ,Adult ,Animal ,
Mnemosyne,,,,,,Female ,Blue ,White ,Past Waist ,Adult ,No ,
Himari Noihara,,,,,,Female ,Purple ,Black ,To Waist ,Teen ,No ,
Kyouka Chichiizumi,,,,,,Female ,Blue ,Blonde ,To Waist ,Teen ,No ,
Sayaka Midou,,,,,,Female ,Blue ,Blonde ,To Waist ,Teen ,No ,
Rihoko Makiyama,,,,,,Female ,Blue ,Blue ,To Neck ,Adult ,No ,
Kirara Amanogawa,,,,,,Female ,Brown ,Brown ,To Waist ,Teen ,No ,
Mai Natsume,162cm,51kg,,,,Female ,Pink ,Blue ,Past Waist ,Teen ,No ,
Lumiere,,,,,,Female ,Purple ,Green ,To Chest ,Teen ,No ,
Maya Natsume,,,,,,Female ,Blue ,Gray ,To Waist ,Teen ,No ,
Toki Asuma,,,,,,Female ,Blue ,Blonde ,To Ears ,Teen ,No ,
Kyou Fujibayashi,160cm,46kg,,,,Female ,Purple ,Purple ,Past Waist ,Teen ,No ,
Melissa Mao,,,,,,Female ,Purple ,Black ,To Neck ,Adult ,No ,
Kyaru,152cm,39kg,,,,Female ,Green ,Black ,Past Waist ,Teen ,Animal ,
Peggy,,,,,,Female ,Orange ,Blonde ,To Waist ,Adult ,No ,
Saya Takamine,157cm,,83cm,56cm,85cm,Female ,Pink ,Blue / Green ,To Chest ,Adult ,No ,
Giga Mermaid,,,,,,Female ,Blue ,Blue ,To Waist ,Adult ,No ,
Clover Ace,,,,,,Female ,Brown ,Black ,Past Waist ,Adult ,No ,
Tamami Haruno,,,,,,Female ,Purple ,Maroon ,To Chest ,Adult ,No ,
Nemu Manaka,,,,,,Female ,Purple ,Brown ,Hair Up / Indeterminate ,Teen ,No ,
Cupitan,,,,,,Female ,Green ,White ,Past Waist ,Teen ,No ,
Shiki,,,,,,Female ,Red ,Blonde ,To Waist ,Teen ,No ,
Kirie Kanoe,,,,,,Female ,Red ,Blue ,To Ears ,Teen ,No ,
Megumi Komaki,,,,,,Female ,Red ,Purple ,To Chest ,Adult ,No ,
Georgia,,,,,,Female ,Blue / Green ,Pink ,To Neck ,Teen ,No ,
Misaki Nanase,,,,,,Female ,Pink ,Brown ,To Shoulders ,Adult ,No ,
Aika Kiriyuu,,,,,,Female ,Yellow ,Brown ,To Chest ,Teen ,No ,
Towa Akagi,,,,,,Female ,Red ,Red ,To Shoulders ,Teen ,No ,
Nojiko,,,,,,Female ,Black ,Blue ,To Neck ,Adult ,No ,
Makoto Aki,168cm,54kg,,,,Female ,Yellow ,Purple ,To Chest ,Adult ,Animal ,
Sophia,,,,,,Female ,Blue ,Blonde ,To Neck ,Adult ,No ,
Marianne vi Britan...,,,,,,Female ,Purple ,Black ,Past Waist ,Adult ,No ,
Rei Kagami,,,98cm,59cm,92cm,Female ,Purple ,Red ,To Chest ,Adult ,No ,
Nagisa,,,,,,Female ,Gray ,Blonde ,To Chest ,Teen ,No ,
Korwa,,,,,,Female ,White ,White ,To Waist ,Teen ,Animal ,
Ayame Amanomiya,,,,,,Female ,Purple ,Purple ,Past Waist ,Adult ,No ,
Aku,,,,,,Female ,Red ,Blonde ,To Neck ,Teen ,No ,
Yukiko,,,,,,Female ,Purple ,Black ,To Neck ,Teen ,No ,
Bors,,,,,,Female ,Blue ,Green ,To Neck ,Teen ,No ,
Genny,,,,,,Female ,Brown ,Pink ,To Shoulders ,Teen ,No ,
Anne Hanamaru,,,,,,Female ,Blue ,Red ,To Neck ,Adult ,No ,
Lady Grey,,,,,,Female ,Red ,Red ,To Ears ,Adult ,No ,
Kaoru Tanamachi,,,,,,Female ,Black ,Black ,To Shoulders ,Teen ,No ,
Nene Momosuzu,159cm,,,,,Female ,Green ,Blonde ,To Waist ,Teen ,No ,
Tohru Honda ,,46kg,,,,Female ,Blue ,Brown ,To Waist ,Teen ,No ,
Carol Olston,,,,,,Female ,Green ,Blonde ,To Chest ,Teen ,No ,
Rihoko Sakurai,,,,,,Female ,Brown ,Brown ,To Shoulders ,Teen ,No ,
Annie Leonhart,153cm,54kg,,,,Female ,Blue ,Blonde ,To Neck ,Teen ,No ,
Sae Nakata,148cm,,,,,Female ,Brown ,Brown ,To Shoulders ,Teen ,No ,
Klaudia Valentz,163cm,,,,,Female ,Green ,Blonde ,Past Waist ,Teen ,No ,
Aloe Mano,150cm,,,,,Female ,Blue / Green ,Pink ,To Waist ,Teen ,Horns ,
Shana ,141cm,37kg,,,,Female ,Brown ,Black ,Past Waist ,Teen ,No ,
Takao Bucho,,,,,,Female ,Brown ,Brown ,To Shoulders ,Teen ,No ,
Wang Zhaojun,,,,,,Female ,Blue ,Red ,Past Waist ,Adult ,No ,
Erika,,,,,,Female ,Green ,Black ,To Neck ,Teen ,No ,
Silveria Leodiehl,172cm,,95cm,55cm,89cm,Female ,Blue ,Blonde ,Past Waist ,Teen ,No ,
Mitsuki Takahashi,,,,,,Female ,Red ,Orange ,To Neck ,Adult ,No ,
Corrin ,,,,,,Female ,Pink ,Blonde ,To Waist ,Adult ,Elf ,
Salacia,,,,,,Female ,Red ,Brown ,Past Waist ,Adult ,No ,
Mikan,,,,,,Female ,Orange ,Orange ,To Ears ,Adult ,No ,
Ichika Takahashi,,,,,,Female ,Red ,Orange ,Past Waist ,Adult ,No ,
Vados,,,,,,Female ,Purple ,White ,Hair Up / Indeterminate ,Adult ,No ,
Shiori Arima,168cm,,93cm,60cm,86cm,Female ,Blue ,Red ,To Chest ,Adult ,No ,
Yamashiro,,,,,,Female ,Red ,Black ,To Neck ,Adult ,Animal ,
Kinuka Tsutsumi,,,,,,Female ,Black ,Black ,To Chest ,Teen ,No ,
Satsuki,,,,,,Female ,Red ,Pink ,To Waist ,Teen ,Horns ,
Anna Heartfilia,,,,,,Female ,Brown ,Blonde ,To Waist ,Adult ,No ,
Minako Aino,,,,,,Female ,Blue ,Blonde ,Past Waist ,Adult ,No ,
Takako Makino,170cm,,96cm,60cm,94cm,Female ,Blue ,Red ,To Shoulders ,Adult ,No ,
Ririchiyo Shirakiin,145cm,35kg,,,,Female ,Purple ,Black ,Past Waist ,Teen ,No ,
Herrscher of the V...,,,,,,Female ,Yellow ,White ,Past Waist ,Teen ,No ,
Minamo Toujou,167cm,,96cm,56cm,85cm,Female ,Not Visible ,Maroon ,Past Waist ,Adult ,No ,
Tsubaki Ikegami,165cm,,91cm,58cm,88cm,Female ,Green ,Black ,Past Waist ,Teen ,No ,
Nice Nature,,,,,,Female ,Yellow ,Red ,To Shoulders ,Teen ,Animal ,
Arisa Suzumura,163cm,,103cm,60cm,98cm,Female ,Blue ,Blonde ,To Shoulders ,Adult ,No ,
March 7th,,,,,,Female ,Purple ,Pink ,To Chest ,Teen ,No ,
Cus,,,,,,Female ,Purple ,White ,To Chest ,Teen ,No ,
Koyanskaya,,,,,,Female ,Yellow ,Pink ,Past Waist ,Adult ,No ,
Kureiji Ollie,162cm,,,,,Female ,Yellow ,Red ,To Shoulders ,Teen ,No ,
Elaina,,,,,,Female ,Blue ,White ,To Waist ,Adult ,No ,
Lumine,,,,,,Female ,Yellow ,Blonde ,To Chest ,Teen ,No ,
Rei Hino,,,,,,Female ,Purple ,Black ,Past Waist ,Teen ,No ,
Ada Wong,,,,,,Female ,Brown ,Black ,To Neck ,Adult ,No ,
Yurika Himekawa,,,,,,Female ,Blue / Green ,Pink ,To Waist ,Teen ,No ,
Black Heart,160cm,45kg,83cm,57cm,83cm,Female ,Blue / Green ,White ,To Waist ,Teen ,No ,
Sera Kurokawa,,,,,,Female ,Yellow ,Blue / Green ,To Neck ,Adult ,No ,
Azusa Riskross,162cm,,83cm,56cm,87cm,Female ,Blue ,Black ,To Neck ,Teen ,No ,
Shirahoshi,,,,,,Female ,Blue ,Pink ,Past Waist ,Teen ,No ,
Sailor Mars,,,,,,Female ,Blue ,Black ,Past Waist ,Teen ,No ,
Sakuya Enjou,,,,,,Female ,Pink ,Pink ,To Chest ,Adult ,No ,
Mina Tepes,114cm,,,,,Female ,Red ,Blonde ,Past Waist ,Teen ,No ,
Barbara Pegg,,,,,,Female ,Gray ,Blonde ,To Chest ,Teen ,No ,
Frey,,,,,,Female ,Red ,White ,To Waist ,Teen ,No ,
Yuuki Konno,,,,,,Female ,Red ,Purple ,To Waist ,Teen ,No ,
Rinka Hayami,,,,,,Female ,Green ,Orange ,To Shoulders ,Teen ,No ,
Shyarly,,,,,,Female ,Blue ,Black ,To Neck ,Adult ,No ,
Nagisa Fujita,,,,,,Female ,Yellow ,Brown ,To Neck ,Adult ,No ,
Mitsuru Aragami,,,,,,Female ,Purple ,Black ,Past Waist ,Adult ,No ,
Frederica,163cm,,110cm,58cm,90cm,Female ,Green ,Brown ,Past Waist ,Teen ,No ,
Liese Hildebrand,,,,,,Female ,Green ,Maroon ,To Waist ,Adult ,No ,
Chisa Kotegawa,,,,,,Female ,Brown ,Brown ,To Neck ,Adult ,No ,
Rin Morichika,144cm,42kg,,,,Female ,Purple ,Brown ,Past Waist ,Teen ,Animal ,
Iris,,,,,,Female ,Red ,Blonde ,To Shoulders ,Adult ,Elf ,
Rice Shower,145cm,,75cm,51cm,76cm,Female ,Pink ,Brown ,To Waist ,Teen ,Animal ,
Tsurara Shirayuki,,,,,,Female ,Blue ,Blue ,Hair Up / Indeterminate ,Adult ,No ,
Melty,,,,,,Female ,Green ,Orange ,To Waist ,Teen ,No ,
Pink,,,,,,Female ,Green ,Pink ,To Waist ,Adult ,Animal ,
Honoka Yukishiro,,,,,,Female ,Blue ,Blue ,To Waist ,Teen ,No ,
Cyan Hijirikawa,154cm,,82cm,56cm,84cm,Female ,Blue / Green ,Blue ,To Shoulders ,Teen ,Animal ,
Rana Linchen,,,,,,Female ,Purple ,Blue ,To Waist ,Teen ,No ,
Ouro Kronii,168cm,,,,,Female ,Blue ,Black ,To Neck ,Adult ,No ,
Tsukasa Yuzaki,154cm,,,,,Female ,Red ,Pink ,To Waist ,Teen ,No ,
Bellows,,,,,,Female ,Blue ,Red ,To Chest ,Teen ,No ,
Nagisa Misumi,,,,,,Female ,Orange ,Orange ,To Neck ,Teen ,No ,
Silva,,,,,,Female ,Brown ,Blue ,Past Waist ,Adult ,No ,
Hanae,,,,,,Female ,Brown ,Purple ,To Neck ,Adult ,No ,
Chihiro Kosaka,,,,,,Female ,Brown ,Brown ,To Neck ,Teen ,No ,
Fischl,,,,,,Female ,Green ,Blonde ,To Waist ,Teen ,No ,
Otome Sakuragi,,,,,,Female ,Blue ,Pink ,To Waist ,Teen ,No ,
Kisaragi,,,,,,Female ,Brown ,Brown ,Past Waist ,Teen ,No ,
Ciel Alen�on,,,,,,Female ,Gray ,Gray ,To Neck ,Teen ,No ,
Byleth ,,,,,,Female ,Blue ,Blue ,To Shoulders ,Adult ,No ,
Rinka Okino,,,,,,Female ,Brown ,Brown ,To Shoulders ,Teen ,No ,
Haruka Ogihara,,,96cm,57cm,86cm,Female ,Purple ,Purple ,To Chest ,Adult ,No ,
Eru Chitanda,160cm,54kg,,,,Female ,Purple ,Black ,To Chest ,Teen ,No ,
Kakouen,,,,,,Female ,Red ,Blue ,To Neck ,Adult ,No ,
Matsuri Himeyama,,,,,,Female ,Purple ,Pink ,Past Waist ,Adult ,No ,
Noire,158cm,43cm,83cm,56cm,82cm,Female ,Red ,Black ,Past Waist ,Teen ,No ,
Z23,,,,,,Female ,Purple ,Blonde ,To Shoulders ,Teen ,No ,
Akane Tsunemori,163cm,49kg,,,,Female ,Brown ,Brown ,To Ears ,Adult ,No ,
Akina Miyazawa,,,,,,Female ,Gray ,Red ,To Chest ,Teen ,No ,
Purple Heart,164cm,48kg,87cm,58cm,85cm,Female ,Blue ,Purple ,Past Waist ,Teen ,No ,
Keqing,,,,,,Female ,Purple ,Purple ,To Waist ,Teen ,No ,
Mei Misaki,152cm,,,,,Female ,Red ,Black ,To Neck ,Teen ,No ,
Sailor Saturn,,,,,,Female ,Purple ,Purple ,To Neck ,Teen ,No ,
Mayaka Ibara,,,,,,Female ,Pink ,Brown ,To Ears ,Teen ,No ,
Airi Akitsuki,,,,,,Female ,Blue ,Blonde ,To Waist ,Teen ,No ,
Kunou,,,,,,Female ,Yellow ,Blonde ,Hair Up / Indeterminate ,Teen ,No ,
Moana,,,,,,Female ,Brown ,Black ,Past Waist ,Teen ,No ,
Scathach-Skadi,,,,,,Female ,Red ,Maroon ,To Waist ,Adult ,No ,
Neru Kakizaki,158cm,,89cm,,,Female ,Yellow ,Blonde ,To Shoulders ,Teen ,No ,
Kaoruko Sazaki,,,,,,Female ,Brown ,Brown ,To Shoulders ,Teen ,No ,
Juliet Honda Jena,,,90cm,57cm,86cm,Female ,Green ,Blonde ,Past Waist ,Adult ,No ,
Kafka,,,,,,Female ,Pink ,Purple ,To Chest ,Adult ,No ,
Viktoriya Ivanovna...,,,,,,Female ,Blue ,Brown ,To Shoulders ,Teen ,No ,
Vira,,,,,,Female ,Red ,Blonde ,To Waist ,Teen ,No ,
Grass Wonder,,,,,,Female ,Blue ,Brown ,To Chest ,Teen ,Animal ,
Azula,141.89cm,,,,,Female ,Brown ,Black ,To Shoulders ,Teen ,No ,
Ruka Sarashina,,,,,,Female ,Blue ,Black ,To Ears ,Teen ,No ,
Akane Ryuuzouji,172cm,,93cm,60cm,90cm,Female ,Blue ,Red ,To Shoulders ,Adult ,No ,
Maho Nishizumi,163cm,,,,,Female ,Brown ,Brown ,To Neck ,Teen ,No ,
Rika,,,,,,Female ,Red ,Green ,Past Waist ,Adult ,No ,
Silver Wolf,,,,,,Female ,Brown ,Gray ,To Chest ,Teen ,No ,
Moe Kamiji,169cm,,,,,Female ,Orange ,Green ,To Chest ,Adult ,No ,
Galatea,171cm,59kg,,,,Female ,Yellow ,Brown ,To Neck ,Adult ,No ,
Elsa,,,,,,Female ,Blue ,Blonde ,To Chest ,Adult ,No ,
Juvia Lockser,157cm,40kg,,,,Female ,Blue ,Blue ,To Waist ,Teen ,No ,
Ningguang,,,,,,Female ,Red ,Blonde ,Past Waist ,Adult ,No ,
Seiko Gotou,,,103cm,60cm,91cm,Female ,Green ,Green ,To Chest ,Adult ,No ,
Sayaka Akimiya,,,,,,Female ,Green ,Black ,To Chest ,Teen ,No ,
Nonna,176cm,,,,,Female ,Blue ,Brown ,To Shoulders ,Teen ,No ,
Iruka Sakimiya,,,,,,Female ,Green ,Red ,To Shoulders ,Teen ,No ,
Haruka Takai,,,,,,Female ,Blue ,Brown ,To Chest ,Teen ,No ,
Mysterious Heroine...,,,,,,Female ,Blue ,Blonde ,To Shoulders ,Adult ,No ,
Akira Makino,,,,,,Female ,Pink ,Purple ,To Neck ,Teen ,No ,
Anna,,,,,,Female ,Blue ,Orange ,To Chest ,Adult ,No ,
Ty Lee,,,,,,Female ,Brown ,Brown ,To Waist ,Teen ,No ,
Vestia Zeta,155cm,,,,,Female ,Blue ,Gray ,Past Waist ,Adult ,No ,
Haruka Tenou,,,,,,Female ,Blue ,Blonde ,To Ears ,Teen ,No ,
Yukina Himeragi,,,,,,Female ,Brown ,Black ,To Shoulders ,Teen ,No ,
Sachiko ,,,,,,Female ,Red ,Brown ,To Shoulders ,Teen ,No ,
Virgo,,,,,,Female ,Blue ,Pink ,To Neck ,Adult ,No ,
Rina Tsushima,164cm,52kg,91cm,59cm,87cm,Female ,Purple ,Red ,To Chest ,Teen ,No ,
Kousonsan,,,,,,Female ,Yellow ,Red ,To Shoulders ,Teen ,No ,
Mimi Usa,,,,,,Female ,Brown ,Brown ,Past Waist ,Teen ,No ,
Ayame Shaga,,,,,,Female ,Blue ,Blonde ,To Waist ,Teen ,No ,
Mahiru Mizuhara,152cm,,74cm,52cm,74cm,Female ,Blue ,Brown ,To Shoulders ,Teen ,No ,
Shura,,,,,,Female ,Yellow ,Green ,Past Waist ,Adult ,No ,
Zeta,,,,,,Female ,Blue ,Blonde ,To Chest ,Teen ,No ,
Nagisa Akatsuki,,,,,,Female ,Brown ,Black ,To Shoulders ,Teen ,No ,
Kuriko Kazetsubaki,,,,,,Female ,Red ,Blonde ,Past Waist ,Adult ,No ,
Haru Okumura,158cm,,,,,Female ,Brown ,Brown ,To Neck ,Teen ,No ,
Yuffie,,,,,,Female ,Black ,Black ,To Neck ,Teen ,No ,
Mizuno Aomiya,169cm,,112cm,59cm,101cm,Female ,Blue ,Blue ,To Chest ,Teen ,No ,
Reki,,,,,,Female ,Yellow ,Blue / Green ,To Neck ,Teen ,No ,
Neneko Isurugi,159cm,,78cm,56cm,80cm,Female ,Red ,Red ,To Shoulders ,Adult ,No ,
Miko Kubota,,,,,,Female ,Black ,Purple ,Past Waist ,Teen ,No ,
Kay,158cm,,,,,Female ,Blue ,Blonde ,To Shoulders ,Teen ,No ,
Kyamiru,,,,,,Female ,Yellow ,Black ,Past Waist ,Teen ,No ,
Natsuki Minamiya,,,,,,Female ,Blue ,Black ,To Waist ,Teen ,No ,
Kai'Sa K/DA,,,,,,Female ,Purple ,Purple ,To Waist ,Adult ,No ,
Fennel,,,,,,Female ,Blue ,Black ,Past Waist ,Adult ,No ,
Aponia,,,,,,Female ,Gray ,Brown ,To Waist ,Adult ,No ,
Mika Yamabuki,158cm,,110cm,60cm,110cm,Female ,Red ,Blonde ,To Shoulders ,Teen ,No ,
Xiangling,,,,,,Female ,Yellow ,Blue ,To Neck ,Teen ,No ,
Hilda Greyrat,,,,,,Female ,Blue ,Red ,To Chest ,Adult ,No ,
Hiori Nayuki,,,,,,Female ,Red ,Blue ,Past Waist ,Adult ,No ,
Yui Kashii,165cm,53kg,75cm,55cm,85cm,Female ,Red ,Black ,Past Waist ,Teen ,No ,
Honjou Aiko,,,,,,Female ,Blue ,Brown ,To Neck ,Teen ,No ,
Kaede Azusagawa,,,,,,Female ,Brown ,Brown ,To Shoulders ,Teen ,No ,
Akane Mahougasawa,,,,,,Female ,Brown ,Brown ,To Chest ,Teen ,No ,
Ririko Chigasaki,,,,,,Female ,Green ,Blonde ,To Chest ,Teen ,No ,
Koharu Hinomoto,,,,,,Female ,Blue ,Brown ,To Neck ,Teen ,No ,
Homura Kougetsu,,,,,,Female ,Red ,Blue ,To Waist ,Adult ,No ,
